# beat|mode|scene|action|camera|light|mood|search (source:terms;source:terms)
# modes: F archival film, P archival photo, S modern stock, G graphic board, B AI b&w, C AI colour, R AI cinematic recreation
1|G|Cream graph-paper board, typewriter-style date JULY 30, 1971 stamped in the center, a small pinned black and white photo of stockyard gates beside it|date stamps in, photo slides in|TOP|||
2|P|the stone entrance gate of the Union Stock Yards in Chicago with cattle pens behind it|slow push-in on the gate|WS|DAY|GRIEF|loc:Union Stock Yards;fsa:stockyards
3|F|1940s: the Chicago stockyards, thousands of cattle in wooden pens, men on horseback riding the alleys between them|cattle moving through the pens|AER|DAY|NOS|prelinger:stockyards;fsa:stockyards Chicago
4|B|1950s: a working man in a flat cap and canvas work jacket walking toward massive factory gates, other workers streaming in around him|he walks away from camera toward the gates|BACK|DAWN|PRIDE|
5|C|a young working-class couple standing on the lawn of their small new ranch house, the man in work clothes, the woman in a floral dress|the couple looks up proudly at the house|WS|DAY|NOS|
6|C|a modest 1960s kitchen, a mother serving pot roast at the dinner table, the father still in his work shirt, three children seated|the mother sets the dish down|MS|TUNG|NOS|
7|F|1950s: a family at home in their living room, father reading the paper, children on the rug|slow push-in on the family|MS|WIN|QUIET|prelinger:family home 1950s;prelinger:home movies family
8|S|a present-day couple at a kitchen table at night surrounded by bills|the man rubs his forehead|OTS|TUNG|GRIEF|pexels:couple paying bills;pexels:stressed couple bills
9|G|Grey graph-paper board, huge semi-transparent #14 on the left, a cut-out paper contract on the right with a red stamp JOB FOR LIFE|number fades in, stamp thumps down|TOP|||
10|B|1970s: a dim print shop, a silent hot-metal typesetting machine with an empty stool, dust sheets over the other machines|dust motes falling through a shaft of light|MS|WIN|GRIEF|
11|C|a modest suburban house at dusk with warm lights on in every window and a 1960s sedan in the driveway|slow push-in toward the front door|WS|DUSK|NOS|
12|F|1950s: a suburban street, children on bicycles, fathers mowing lawns in front of new houses|children ride past the camera|WS|DAY|NOS|prelinger:suburbs 1950s;prelinger:home movies
13|G|Cream graph-paper board, title 25 ONE-PAYCHECK JOBS in bold cream letters over a pinned black and white photo of a 1960s house, dashed border|title builds letter by letter|TOP|||
14|P|1960s aerial view of new tract houses lined up in rows|slow pan across the rooftops|AER|DAY|NOS|loc:housing development;nara:housing development 1960s
15|G|Grey graph-paper board, giant semi-transparent #25, curved white label ELEVATOR OPERATOR arcing over a cut-out brass elevator control lever, white hand-drawn doodles|number slams in, lever slides in|TOP|||
16|P|New York skyscrapers seen from street level|slow tilt up the towers|LOW|DAY|PRIDE|loc:New York skyscrapers;fsa:New York office building
17|B|1950s: an elevator operator in a pressed uniform, white gloves and a peaked cap, standing beside the open brass gate of an ornate elevator car|he stands at attention, hand resting on the lever|MS|TUNG|PRIDE|
18|P|an elevator operator at the controls of his car|slow push-in on the hand lever|MS|TUNG|NOS|fsa:elevator operator;loc:elevator operator
19|B|1950s: a white-gloved hand easing a brass elevator control lever as the floor edge lines up with the threshold|the hand eases the lever back|CU|TUNG|NOS|
20|B|1950s: a department store elevator car crowded with shoppers in hats and coats, the operator's back to camera facing the gate|the gate slides open|OTS|TUNG|NOS|
21|P|a busy department store floor, shoppers at glass counters|slow pan across the floor|WS|TUNG|NOS|loc:department store interior;nypl:department store
22|C|1950s: an elevator operator tipping his cap to a regular customer, a woman in gloves and a pillbox hat stepping into his car|he tips his cap|MS|TUNG|NOS|
23|R|1950s: a businessman in a grey suit and fedora walking toward a waiting elevator at closing time, the operator holding the gate, marble office lobby|the businessman walks toward the car|BACK|TUNG|NOS|
24|G|Grey graph-paper board, a pinned cut-out union membership card, curved label UNION · STEADY WORK|card slides in, label arcs over it|TOP|||
25|P|a crowded New York street in the 1940s|people walk past|WS|DAY|NOS|fsa:New York street;loc:New York City street
26|C|1950s: a small city apartment kitchen, a mother feeding two children at a table by the window, a uniform cap hanging on a hook by the door|the mother pours milk|MS|WIN|NOS|
27|G|Cream graph-paper board, 1945 stamped large in the center, label STRIKE underneath|year stamps in|TOP|||
28|P|striking building workers on a New York sidewalk in 1945|slow push-in|MS|DAY|TENSE|loc:elevator strike 1945;loc:strike New York 1945
29|B|1945: a crowd of office workers in hats and overcoats stranded on a Manhattan sidewalk outside a tall building|people stand looking up at the building|WS|OVC|TENSE|
30|B|1945: office workers in suits and dresses climbing a long stairwell, one man mopping his brow with a handkerchief|they climb away from camera|HIGH|FLUOR|TENSE|
31|R|1950s: building owners in a wood-panelled office studying a brochure for automatic elevators|one man taps the brochure|OTS|TUNG|COLD|
32|F|1950s: an automatic push-button elevator, doors closing by themselves|the doors slide shut|MS|FLUOR|COLD|prelinger:elevator;prelinger:automatic elevator
33|S|a vintage manual elevator with a brass folding gate in an old building today|the gate is pulled open|MS|TUNG|QUIET|pexels:vintage elevator;wiki:manual elevator operator
34|B|1960s: an empty elevator car with its brass gate open, the operator's stool empty, a pair of white gloves left on the seat|slow push-in on the gloves|CU|TUNG|GRIEF|
35|G|Grey graph-paper board, giant semi-transparent #24, curved label DRIVE-IN THEATER OWNER arcing over a cut-out metal drive-in speaker|number slams in, speaker slides in|TOP|||
36|P|a 1950s drive-in theater full of cars at night|slow push-in toward the screen|WS|NIGHT|NOS|loc:drive-in theater;fsa:drive-in
37|G|Cream graph-paper board, counter rolling from 0 to 4,000+ with label DRIVE-INS · LATE 1950s|counter rolls up|TOP|||
38|C|1950s: a huge white drive-in screen glowing at dusk in the middle of cornfields, rows of cars facing it|light flickers across the screen|AER|DUSK|NOS|
39|F|1950s: cars pulling into a drive-in theater at dusk|cars roll in one after another|WS|DUSK|NOS|prelinger:drive-in;prelinger:drive-in intermission
40|C|1950s: a family-run drive-in snack bar, the husband behind the counter in a paper cap, his wife at the register|the husband hands over a box of popcorn|MS|TUNG|NOS|
41|C|1950s: a man in shirtsleeves standing in an empty grass field at the edge of a small town, looking at the land|he surveys the field, hands on hips|BACK|DAY|HOPE|
42|B|1950s: workers raising the wooden frame of a drive-in movie screen with ropes and a flatbed truck|they pull the frame upright|WS|DAY|PRIDE|
43|G|Cream graph-paper board, a calendar strip MAY → SEPTEMBER and label 6 NIGHTS A WEEK|strip slides across|TOP|||
44|C|1950s: a woman in a cardigan in a small drive-in ticket booth handing a ticket to a driver, teenagers behind a lit concession counter in the background|she hands the ticket through the window|MS|DUSK|NOS|
45|F|1950s: station wagons full of families arriving at a drive-in|cars roll in|WS|DUSK|NOS|prelinger:drive-in theater;prelinger:station wagon
46|C|1950s: children in pajamas peeking over the back seat of a station wagon, a glowing drive-in screen through the windshield|the kids giggle and point|OTS|NIGHT|NOS|
47|B|1950s: a metal drive-in speaker hooked on a car window, the big screen blurred in the background|slow push-in on the speaker|CU|NIGHT|NOS|
48|G|Cream graph-paper board, pinned photo of a drive-in lot, a rising arrow label LAND VALUE ↑|arrow climbs|TOP|||
49|B|1960s: a family in a car at a drive-in waiting in bright evening daylight, the screen still blank, children restless in the back|the kids yawn and slump|MS|DUSK|QUIET|
50|F|1950s: a family watching television together on the couch|the family laughs at the screen|MS|TUNG|NOS|prelinger:television family;prelinger:color television
51|P|1960s aerial of a new shopping center surrounded by a huge parking lot|slow pan|AER|DAY|COLD|nara:shopping center 1960s;loc:shopping center
52|G|Cream graph-paper board, counter falling 4,000 → 300, label TODAY|numbers roll down|TOP|||
53|S|an abandoned drive-in screen overgrown with weeds|slow push-in|WS|OVC|STARK|pexels:abandoned drive-in;pixabay:drive-in theater
54|S|rows of self-storage units|slow pan|WS|OVC|STARK|pexels:self storage units;pexels:storage units aerial
55|B|1960s: an empty drive-in lot at dawn, rows of speaker posts standing in the grass, the blank screen behind|mist drifts across the lot|WS|DAWN|GRIEF|
56|G|Grey graph-paper board, giant semi-transparent #23, curved label ENCYCLOPEDIA SALESMAN arcing over a cut-out stack of leather-bound books|number slams in, books slide in|TOP|||
57|C|a neat 1960s suburban street with ranch houses and sedans, a man in a suit walking along the sidewalk with a briefcase|he walks along the sidewalk|WS|DAY|NOS|
58|C|a 1960s salesman in a suit sitting in his parked sedan counting a stack of order forms and dollar bills|he smiles as he counts|MS|DAY|PRIDE|
59|G|Cream graph-paper board, label COMMISSION arcing over a pinned black and white photo of a 1960s street|label slides in|TOP|||
60|C|a 1960s salesman in a suit and tie ringing the doorbell of a small suburban house, a sample book under his arm|he presses the bell|BACK|DAY|NOS|
61|B|1960s: a salesman on a front porch holding a leather sample volume as a housewife opens the screen door|the door swings open|MS|DAY|NOS|
62|B|1960s: a salesman seated at a kitchen table with a young couple, brochures spread across the oilcloth|he opens the sample volume|OTS|TUNG|NOS|
63|P|a family sitting together at a kitchen table|slow push-in|MS|WIN|NOS|fsa:family kitchen;loc:family at kitchen table
64|C|two children in 1960s pajamas looking up in wonder at their parents in a living room|they smile up at their parents|MS|TUNG|HOPE|
